kind,name,image_url,start_year,end_year,doors
SUV cars,Audi Q3 1.4 TFSI,https://www.cars-data.com/pictures/thumbs/350px/audi/audi-q3_212_1.jpg,2013,2015,5
SUV cars,Audi Q5 2.0 TFSI 180hp quattro,https://www.cars-data.com/pictures/thumbs/350px/audi/audi-q5_213_1.jpg,2009,2012,5
SUV cars,Audi Q7 3.6 FSI quattro,https://www.cars-data.com/pictures/thumbs/350px/audi/audi-q7_214_1.jpg,2008,2008,5
SUV cars,Audi Q7 3.0 TFSI 272hp quattro,https://www.cars-data.com/pictures/thumbs/350px/audi/audi-q7_215_1.jpg,2010,2015,5
SUV cars,BMW X1 sDrive18i,https://www.cars-data.com/pictures/thumbs/350px/bmw/bmw-x1_307_1.jpg,2010,2011,5
SUV cars,BMW X1 sDrive20i,https://www.cars-data.com/pictures/thumbs/350px/bmw/bmw-x1_308_1.jpg,2012,2015,5
SUV cars,BMW X3 2.0i,https://www.cars-data.com/pictures/thumbs/350px/bmw/bmw-x3_309_1.jpg,2005,2006,5
SUV cars,BMW X3 xDrive20i,https://www.cars-data.com/pictures/thumbs/350px/bmw/bmw-x3_310_1.jpg,2006,2010,5
SUV cars,BMW X3 xDrive20i,https://www.cars-data.com/pictures/thumbs/350px/bmw/bmw-x3_311_1.jpg,2011,2014,5
SUV cars,BMW X5 3.0i,https://www.cars-data.com/pictures/thumbs/350px/bmw/bmw-x5_312_1.jpg,2000,2003,5
SUV cars,BMW X5 3.0i,https://www.cars-data.com/pictures/thumbs/350px/bmw/bmw-x5_313_1.jpg,2003,2007,5
SUV cars,BMW X5 xDrive30i,https://www.cars-data.com/pictures/thumbs/350px/bmw/bmw-x5_314_1.jpg,2007,2010,5
SUV cars,BMW X5 xDrive35i,https://www.cars-data.com/pictures/thumbs/350px/bmw/bmw-x5_315_1.jpg,2010,2013,5
SUV cars,BMW X6 xDrive35i,https://www.cars-data.com/pictures/thumbs/350px/bmw/bmw-x6_316_1.jpg,2008,2010,5
SUV cars,BMW X6 xDrive35i,https://www.cars-data.com/pictures/thumbs/350px/bmw/bmw-x6_317_1.jpg,2012,2014,5
SUV cars,Cadillac Escalade 6.0 V8,https://www.cars-data.com/pictures/thumbs/350px/cadillac/cadillac-escalade_334_1.jpg,2005,2006,5
SUV cars,Cadillac Escalade 6.0 V8 Hybrid Sport Luxury,https://www.cars-data.com/pictures/thumbs/350px/cadillac/cadillac-escalade_335_1.jpg,2009,2009,5
SUV cars,Cadillac Escalade 6.0 V8 Hybrid Sport Luxury,https://www.cars-data.com/pictures/thumbs/350px/cadillac/cadillac-escalade_336_1.jpg,2010,2015,5
SUV cars,Cadillac SRX 3.6 V6 2WD Elegance,https://www.cars-data.com/pictures/thumbs/350px/cadillac/cadillac-srx_339_1.jpg,2007,2009,5
SUV cars,Cadillac SRX 3.0 V6 AWD Elegance,https://www.cars-data.com/pictures/thumbs/350px/cadillac/cadillac-srx_340_1.jpg,2010,2015,5
SUV cars,Chevrolet Blazer ZR2,https://www.cars-data.com/pictures/thumbs/350px/chevrolet/chevrolet-blazer-zr2_349_1.jpg,1998,2001,3
SUV cars,Chevrolet Blazer,https://www.cars-data.com/pictures/thumbs/350px/chevrolet/chevrolet-blazer_350_1.jpg,1995,1997,5
SUV cars,Chevrolet Blazer Wagon,https://www.cars-data.com/pictures/thumbs/350px/chevrolet/chevrolet-blazer-wagon_351_1.jpg,1998,1999,5
SUV cars,Chevrolet Captiva 2.4 Shadow,https://www.cars-data.com/pictures/thumbs/350px/chevrolet/chevrolet-captiva_356_1.jpg,2010,2011,5
SUV cars,Chevrolet Captiva 2.4 LT,https://www.cars-data.com/pictures/thumbs/350px/chevrolet/chevrolet-captiva_357_1.jpg,2011,2014,5
SUV cars,Citroen C-Crosser 2.4i 16v Prestige,https://www.cars-data.com/pictures/thumbs/350px/citroen/citroen-c-crosser_428_1.jpg,2008,2012,5
